Title,Company,Location,Salary Min,Salary Max,Currency,Description,URL,Job ID
Senior Developer - Mobile Development,Xped pvt Ltd,India,,,,"Job Responsibilities : - Develop and maintain mobile applications using React Native and Swift/Kotlin. - Collaborate with cross-functional teams to define, design, and ship new features. - Optimize components for maximum performance. - Design and implement robust mobile app architectures for both iOS and Android platforms, ensuring scalability and performance. - Participate in internal testing to identify problems early, perform error and stress scenarios, and tuning for performance. - Identify…",https://www.adzuna.in/land/ad/5152413544?se=CPDLoike8BGla2k9OSZXLA&utm_medium=api&utm_source=2416957f&v=2FDE96BB891799E5BC26F4E6A656A946C55EC9E2,5152413544
Linux Developer - Kernel Development,Neudeep Technologies Pvt. Ltd,India,,,,"Job Summary : We are seeking a skilled Linux Developer to join our team. The ideal candidate will have a strong background in Linux-based systems and software development, with experience in creating, maintaining, and optimizing applications for Linux environments. Key Responsibilities : - Software Development: Design, develop, and maintain applications and systems software for Linux platforms, ensuring high performance and reliability. - Kernel Development: Work on modifications and enhancemen…",https://www.adzuna.in/land/ad/5062523343?se=CPDLoike8BGla2k9OSZXLA&utm_medium=api&utm_source=2416957f&v=7D3674FD306FAAA124B30EC4CC295F53711B934B,5062523343
Python Developer - Chatbot Development,Varite India,"Hyderabad, Telangana",,,,"Chatbot - Python Position Locatons : Hyderabad Required Experience : 6-10 Mandate Skills : ChatBot, Python, ChatBot Framework Requirements : - At least a year of experience in AI or Chatbot development. - Proficient in a python programming language - Can design and implement dialog management - Knowledgeable with API management solutions and working with REST. - Work with an Agile mindset to create value across projects of multiple scopes and scale. - Has an attitude of collaboration and proact…",https://www.adzuna.in/land/ad/5130425050?se=CPDLoike8BGla2k9OSZXLA&utm_medium=api&utm_source=2416957f&v=D34CFFACD87BB539510E1AFAEFA228D1A04E8E99,5130425050
Python Developer - Mac OS Development,Haparz,"Hyderabad, Telangana",,,,"Job Title : Python Developer - Mac OS Specialist. Location : Hyderabad. Experience : 6 Years. Employment Type : CONTRACTUAL-ONSITE. Job Summary : We are seeking a highly skilled Python Developer with expertise in Mac OS development to join our team. The ideal candidate will have a deep understanding of Python programming, Mac OS internals, and automation, contributing to the development, optimization, and maintenance of Mac OS applications and scripts. Key Responsibilities : - Develop, optimize…",https://www.adzuna.in/land/ad/5092467499?se=CPDLoike8BGla2k9OSZXLA&utm_medium=api&utm_source=2416957f&v=98172FA432D32E194999C105FC8AE4E98F7D1753,5092467499
Java Developer - Software Product Development,Squareroot Consulting Pvt Ltd.,"Bangalore, Karnataka",,,,"We are 10 years old product company based in Bangalore. In a verge of expanding products in internet and FinTech Space. And looking to add few good Developers for Engineering Division. Position : Senior, Lead &amp; Principal Developer Domain : Product Innovation team Location: Bengaluru Job Description : - Having a minimum of 4 to 7 years of core software product development experience. - Have been part of the core product development team and have built an awesome cloud based SaaS product(s). …",https://www.adzuna.in/land/ad/5136452454?se=CPDLoike8BGla2k9OSZXLA&utm_medium=api&utm_source=2416957f&v=2037DE1466D50C8D207CC79FF8E2329B6DB124C9,5136452454
Java Developer - Software Product Development,Squareroot Consulting Pvt Ltd,"Bangalore, Karnataka",,,,"We are 10 years old product company based in Bangalore. In a verge of expanding products in internet and FinTech Space. And looking to add few good Developers for Engineering Division. Position : Senior, Lead & Principal Developer Domain : Product Innovation team Location: Bengaluru Job Description : - Having a minimum of 4 to 7 years of core software product development experience. - Have been part of the core product development team and have built an awesome cloud based SaaS product(s). - Ha…",https://www.adzuna.in/land/ad/5136452283?se=CPDLoike8BGla2k9OSZXLA&utm_medium=api&utm_source=2416957f&v=B18716D96F36BFA8A90D684DC003A5175CE84C16,5136452283
mymoneykarma - Lead Developer - Frontend Development,My Money Karma,"Hyderabad, Telangana",,,,"About the Role : We are seeking a highly skilled and experienced Lead Frontend Developer to join our growing team. This role will be instrumental in shaping the future of our user-facing web applications. You will be responsible for leading the frontend development team, driving technical decisions, ensuring code quality, and delivering exceptional user experiences. This position requires a deep understanding of modern frontend technologies, strong leadership skills, and a passion for building …",https://www.adzuna.in/land/ad/5058329993?se=CPDLoike8BGla2k9OSZXLA&utm_medium=api&utm_source=2416957f&v=C9EB11FCED482DF9647494D85008AAAAF02859AA,5058329993
Java Developer - Java Developer/Hibernate,InfluxService,"Mohali, Punjab",,,,"Role Java Developer(3  : Type : Level : (3-5 Summary : We are looking for a motivated and detail-oriented Junior Java Developer to join our growing team. You will assist in the development and maintenance of high-quality Java applications. This is a great opportunity to build your skills and grow within a supportive and collaborative Responsibilities : - Assist in designing, coding, testing, and debugging Java applications, - Collaborate with senior developers and other team members to implemen…",https://www.adzuna.in/land/ad/5150652574?se=CPDLoike8BGla2k9OSZXLA&utm_medium=api&utm_source=2416957f&v=BC31F08B4065A95ABC35082550E255568BC00306,5150652574
Java Developer - Object-Oriented Development,TalenTree,"Bangalore, Karnataka",,,,"Job Summary : Prana tree is seeking a highly skilled and experienced Software Engineer Level-2 (Backend Developer- Java and object-oriented development skills) to design and implement solutions for complex business workflows. The ideal candidate will possess exceptional coding skills, a strong sense of ownership, and the ability to mentor junior engineers while collaborating across teams to deliver high-quality solutions in a fast-paced, startup Responsibilities : - Design and build solutions f…",https://www.adzuna.in/land/ad/5146725658?se=CPDLoike8BGla2k9OSZXLA&utm_medium=api&utm_source=2416957f&v=102B6ACB3528557A0AF229D6F7D34ABA02009057,5146725658
Guidewire Developer,Innova ESI,"Hyderabad, Telangana",,,,"Job Description : As a Guidewire Developer, you will play a critical role in our Guidewire implementation projects. You will work closely with business analysts, architects, and other developers to design, develop, and deploy Guidewire applications. Your expertise in Guidewire configuration, integration, and development will be essential to your success. Responsibilities : - Develop and configure Guidewire applications, including PolicyCenter, BillingCenter, and Rating. - Customize Guidewire ap…",https://www.adzuna.in/land/ad/5107222868?se=CPDLoike8BGla2k9OSZXLA&utm_medium=api&utm_source=2416957f&v=32CBBDE26A199B7B8574FD887206E59E733547A7,5107222868
